#fragment# 	+QK 
#noise# 	+hGH 
$ 	SIL 
Aduaneras 	a D w a n e rf a s 
Adversarios 	a D b e rf s a rf j o s 
Advierte 	a D b j e rf t e 
Advierten 	a D b j e rf t e ng 
Advirtio+ 	a D b i rf t j o+ 
Ae+rea 	a e+ rf e a 
Ae+reos 	a e+ rf e o s 
Aerea 	a e rf e a 
Aeroli+neas 	a e rf o l i+ n e a s 
Aerona+utica 	a e rf o n a+ u t i k a 
Aeronau+tica 	a e rf o n a u+ t i k a 
Aeropuerto 	a e rf o p w e rf t o 
Aerospatiale 	a e rf o s p a t j a l e 
Afane 	a f a n e 
Afectado 	a f e k t a D o 
Afectado(2) 	a f e k t a o 
Affairs 	a f e rf s 
Afganista+n 	a f G a n i s t a+ ng 
Afghanai 	a f G a n aI 
Afghani 	a f G a n i 
Aficionados 	a f i s j o n a D o s 
Aficionados(2) 	a f i T j o n a D o s 
Afinan 	a f i n a ng 
Afines 	a f i n e s 
Afirma 	a f i rf m a 
Afirman 	a f i rf m a ng 
Afirmo+ 	a f i rf m o+ 
Afortunadamente 	a f o rf t u n a D a m e n t e 
Africa 	a f rf i k a 
Agca 	a G k a 
Agencia 	a x e ng s j a 
Agencia(2) 	a x e n T j a 
Agency 	eI L e ng s j 
Agenda 	a x e n d a 
Agentes 	a x e n t e s 
Agnes 	a G n e s 
Agnone 	a G n o n e 
Agostino 	a G o s t i n o 
Agraria 	a G rf a rf j a 
Agrarias 	a G rf a rf j a s 
Agrario 	a G rf a rf j o 
Agrega 	a G rf e G a 
Agregado 	a G rf e G a D o 
Agregado(2) 	a G rf e G a o 
Agrego+ 	a G rf e G o+ 
Agri+cola 	a G rf i+ k o l a 
Agribusiness 	a G rf i b i s n e s 
Agropecuarios 	a G rf o p e k w a rf j o s 
Agro 	a G rf o 
Agrupamiento 	a G rf u p a m j e n t o 
Agua 	a G w a 
Agua+n 	a G w a+ ng 
A+guila 	a+ g i l a 
Aguilar 	a g i l a rf 
Aguilera 	a g i l e rf a 
Aguirre 	a g i r e 
Agusti+n 	a G u s t i+ ng 
Ah 	a 
Ahern 	a e rf ng 
Ahi+ 	a i+ 
Ahmed 	a m e 
Ahmedzi 	a m e D s i 
Ahmedzi(2) 	a m e D T i 
Ahora 	a o rf a 
Ahorro 	a o r o 
Ahorros 	a o r o s 
Ahronot 	a rf o n o t 
Ahuachapa+n 	a w a tS a p a+ ng 
Aires 	aI rf e s 
Airlines 	e rf l aI ng s 
Airways 	e rf w eI s 
Aislan 	aI z l a ng 
Ajimura 	a x i m u rf a 
Ajustes 	a x u s t e s 
Ajuterique 	a x u t e rf i k e 
Akbar 	a k b a rf 
Akchurin 	a k tS u rf i ng 
Al 	a l 
ALADI 	a l a D i 
Aladi 	a l a D i 
Alain 	a l aI ng 
Alajuela 	a l a x w e l a 
Alajuelense 	a l a x w e l e ng s e 
Alajuelense(2) 	a l a x w e l e n s e 
Alajuelita 	a l a x w e l i t a 
Alarco+n 	a l a rf k o+ ng 
Alasino 	a l a s i n o 
Alaska 	a l a s k a 
Albert 	a l b e rf t 
Alberto 	a l b e rf t o 
Albraham 	a l b rf a a m 
Alcalde 	a l k a l d e 
Alcanza 	a l k a n s a 
Alcanza(2) 	a l k a n T a 
Alcerro 	a l s e r o 
Alcerro(2) 	a l T e r o 
Alcibiades 	a l s i b j a D e s 
Alcibiades(2) 	a l T i b j a D e s 
Alcides 	a l s i D e s 
Alcides(2) 	a l T i D e s 
Alcocer 	a l k o s e rf 
Alcocer(2) 	a l k o T e rf 
Alcohol 	a l k o o l 
Aldana 	a l d a n a 
Alegando 	a l e G a n d o 
Alegri+a 	a l e G rf i+ a 
Alegue 	a l e g e 
Alejandra 	a l e x a n d rf a 
Alejandro 	a l e x a n d rf o 
Aleksander 	a l e k s a n d e rf 
Aleksandre 	a l e k s a n d rf e 
Alema+n 	a l e m a+ ng 
Alemania 	a l e m a n j a 
Alentada 	a l e n t a D a 
Alerta 	a l e rf t a 
Alex 	a l e k s 
Alex(2) 	a l e s 
Alexa+nder 	a l e k s a+ n d e rf 
Alexa+nder(2) 	a l e s a+ n d e rf 
Alexander 	a l e k s a n d e rf 
Alexander(2) 	a l e s a n d e rf 
Alexandra 	a l e k s a n d rf a 
Alexandra(2) 	a l e s a n d rf a 
Alexandre 	a l e k s a n d rf e 
Alexandre(2) 	a l e s a n d rf e 
Alexis 	a l e k s i s 
Alexis(2) 	a l e s i s 
Alfa 	a l f a 
Alfaro 	a l f a rf o 
Alfonsi+n 	a l f o ng s i+ ng 
Alfonsi+n(2) 	a l f o n s i+ n 
Alfonso 	a l f o ng s o 
Alfonso(2) 	a l f o n s o 
Alfred 	a l f rf e 
Alfredo 	a l f rf e D o 
Algo 	a l G o 
Algu+n 	a l G u+ ng 
Alguien 	a l g j e ng 
Alguna 	a l G u n a 
Algunas 	a l G u n a s 
Algunos 	a l G u n o s 
Ali 	a l i 
Alianza 	a l j a n s a 
Alianza(2) 	a l j a n T a 
Alija 	a l i x a 
Alina 	a l i n a 
Alineaciones 	a l i n e a s j o n e s 
Alineaciones(2) 	a l i n e a T j o n e s 
Alitalia 	a l i t a l j a 
Aliva 	a l i b a 
Allan 	a L a ng 
Allen 	a L e ng 
Allende 	a L e n d e 
Alli+ 	a L i+ 
Alloco 	a L o k o 
Allup 	a L u p 
Alma 	a l m a 
Almoloya 	a l m o l o L a 
Almoloya(2) 	a l m o l oI a 
Alonso 	a l o ng s o 
Alonso(2) 	a l o n s o 
Alpargatas 	a l p a rf G a t a s 
Alpes 	a l p e s 
Alpi+rez 	a l p i+ rf e s 
Alpi+rez(2) 	a l p i+ rf e T 
Alrededor 	a l r e D e D o rf 
Alsogaray 	a l s o G a rf aI 
Alta 	a l t a 
Altamirano 	a l t a m i rf a n o 
Alternativas 	a l t e rf n a t i b a s 
Altiplano 	a l t i p l a n o 
Altmann 	a l t m a n ng 
Alto 	a l t o 
Altos 	a l t o s 
Alusa 	a l u s a 
Alvarado 	a l b a rf a D o 
Alvarado(2) 	a l b a rf a o 
Alvarez 	a l b a rf e s 
Alvarez(2) 	a l b a rf e T 
Alvaro 	a l b a rf o 
Alvin 	a l b i ng 
Am 	a m 
Ama+n 	a m a+ ng 
Amable 	a m a b l e 
Amado 	a m a D o 
Amado(2) 	a m a o 
Amador 	a m a D o rf 
Amanecer 	a m a n e s e rf 
Amatillo 	a m a t i L o 
Amatita+n 	a m a t i t a+ ng 
Amatitla+n 	a m a t i t l a+ ng 
Amazonas 	a m a s o n a s 
Amazonas(2) 	a m a T o n a s 
Amazonia 	a m a s o n j a 
Amazonia(2) 	a m a T o n j a 
Ambas 	a m b a s 
Amberes 	a m b e rf e s 
Ambientales 	a m b j e n t a l e s 
Ambiente 	a m b j e n t e 
Ambos 	a m b o s 
Ame+n 	a m e+ ng 
Ame+rica 	a m e+ rf i k a 
Ame+ricas 	a m e+ rf i k a s 
Amelia 	a m e l j a 
Amenazado 	a m e n a s a D o 
Amenazado(2) 	a m e n a T a o 
Amenazan 	a m e n a s a ng 
Amenazan(2) 	a m e n a T a n 
Amenazas 	a m e n a s a s 
Amenazas(2) 	a m e n a T a s 
American 	a m e rf i k a n 
Americana 	a m e rf i k a n a 
Americanos 	a m e rf i k a n o s 
Amiga 	a m i G a 
Amigos 	a m i G o s 
Amilcar 	a m i l k a rf 
Amin 	a m i ng 
Amistad 	a m i s t a 
Amman 	a m m a ng 
Amnisti+a 	a m n i s t i+ a 
Amo 	a m o 
Amondarain 	a m o n d a rf aI ng 
Amor 	a m o rf 
Ampliada 	a m p l j a D a 
An5ade 	a n~ a D e 
An5aden 	a n~ a D e ng 
An5adieron 	a n~ a D j e rf o ng 
An5adio+ 	a n~ a D j o+ 
An5o 	a n~ o 
Ana 	a n a 
Ana+lisis 	a n a+ l i s i s 
Ana+loga 	a n a+ l o G a 
Anabelle 	a n a b e L e 
Anacoreta 	a n a k o rf e t a 
Anaheim 	a n a eI m 
Analistas 	a n a l i s t a s 
Analista 	a n a l i s t a 
Anastacio 	a n a s t a s j o 
Anastacio(2) 	a n a s t a T j o 
Anastasio 	a n a s t a s j o 
Anatoli 	a n a t o l i 
Anatoly 	a n a t o l j 
Anaya 	a n a L a 
Anaya(2) 	a n aI a 
Ancianos 	a ng s j a n o s 
Ancianos(2) 	a n T j a n o s 
Anco+n 	a ng k o+ ng 
Anco+n(2) 	a n k o+ n 
A+ncora 	a+ ng k o rf a 
Anderson 	a n d e rf s o ng 
Andes 	a n d e s 
Andi 	a n d i 
Andigraf 	a n d i G rf a f 
Andina 	a n d i n a 
Andrade 	a n d rf a D e 
Andre+ 	a n d rf e+ 
Andre+s 	a n d rf e+ s 
Andrea 	a n d rf e a 
Andrej 	a n d rf e x 
Andrews 	a n d rf e w s 
Andro+pov 	a n d rf o+ p o b 
Andropov 	a n d rf o p o b 
Anfiteatro 	a ng f i t e a t rf o 
Anfiteatro(2) 	a n f i t e a t rf o 
Angang 	a ng g a ng g 
Angang(2) 	a n g a n g 
Angel 	a n x e l 
Angela 	a n x e l a 
Angeles 	a n x e l e s 
Angelina 	a n x e l i n a 
Angelo 	a n x e l o 
Angels 	a n x e l s 
Angelus 	a n x e l u s 
Anglicana 	a ng g l i k a n a 
Anglicana(2) 	a n g l i k a n a 
Anglo 	a ng g l o 
Anglo(2) 	a n g l o 
Angulo 	a ng g u l o 
Angulo(2) 	a n g u l o 
Anhelan 	a n e l a ng 
Ani+bal 	a n i+ b a l 
Anillaco 	a n i L a k o 
Animales 	a n i m a l e s 
Aninat 	a n i n a t 
Ann 	a n ng 
Anoche 	a n o tS e 
Anselmi 	a ng s e l m i 
Anselmo 	a ng s e l m o 
Anselmo(2) 	a n s e l m o 
Ansley 	a ng z l eI 
Ansley(2) 	a n z l eI 
Anta+rtida 	a n t a+ rf t i D a 
Ante 	a n t e 
Antecedente 	a n t e s e D e n t e 
Antecedente(2) 	a n t e T e D e n t e 
Antecedentes 	a n t e s e D e n t e s 
Antecedentes(2) 	a n t e T e D e n t e s 
Anteriormente 	a n t e rf j o rf m e n t e 
Antes 	a n t e s 
Anti+podas 	a n t i+ p o D a s 
Antidrogas 	a n t i D rf o G a s 
Antigua 	a n t i G w a 
Antiguo 	a n t i G w o 
Antinarco+ticas 	a n t i n a rf k o+ t i k a s 
Antinarcotra+fico 	a n t i n a rf k o t rf a+ f i k o 
Antioquen5o 	a n t j o k e n~ o 
Antonieta 	a n t o n j e t a 
Antonino 	a n t o n i n o 
Antonio 	a n t o n j o 
Antorcha 	a n t o rf tS a 
Antorchada 	a n t o rf tS a D a 
Antropologi+a 	a n t rf o p o l o x i+ a 
Antunes 	a n t u n e s 
Anual 	a n w a l 
Anuales 	a n w a l e s 
Anuncian 	a n u ng s j a ng 
Anuncian(2) 	a n u n T j a n 
Apagan 	a p a G a ng 
Aparentemente 	a p a rf e n t e m e n t e 
Aparte 	a p a rf t e 
Apelaciones 	a p e l a s j o n e s 
Apelaciones(2) 	a p e l a T j o n e s 
Apelamos 	a p e l a m o s 
Apenas 	a p e n a s 
Apertura 	a p e rf t u rf a 
Aplazan 	a p l a s a ng 
Aplazan(2) 	a p l a T a n 
Aplicacio+n 	a p l i k a s j o+ ng 
Apo+stoles 	a p o+ s t o l e s 
Apocalypse 	a p o k a l j p s e 
Apoliticidad 	a p o l i t i s i D a 
Apollinaire 	a p o l i n aI rf e 
Apolo 	a p o l o 
Aporte 	a p o rf t e 
Aposto+lica 	a p o s t o+ l i k a 
Aposto+lico 	a p o s t o+ l i k o 
Apoyar 	a p o L a rf 
Apoyar(2) 	a p oI a rf 
Apoyo 	a p o L o 
Apoyo(2) 	a p oI o 
Apreciamos 	a p rf e s j a m o s 
Apreciamos(2) 	a p rf e T j a m o s 
Aprendio+ 	a p rf e n d j o+ 
Apretaba 	a p rf e t a b a 
Apretada 	a p rf e t a D a 
Aprobacio+n 	a p rf o b a s j o+ ng 
Aprobacio+n(2) 	a p rf o b a T j o+ n 
Aprobaron 	a p rf o b a rf o ng 
Aprovechare+ 	a p rf o b e tS a rf e+ 
Apues 	a p w e s 
Apuestas 	a p w e s t a s 
Apuleyo 	a p u l e L o 
Apuleyo(2) 	a p u l eI o 
Aqsa 	a k s a 
Aquel 	a k e l 
Aquella 	a k e L a 
Aqui+ 	a k i+ 
Aquiles 	a k i l e s 
Arabia 	a rf a b j a 
Arafat 	a rf a f a t 
Arago+n 	a rf a G o+ ng 
Aragua 	a rf a G w a 
Arana 	a rf a n a 
Arango 	a rf a ng g o 
Arango(2) 	a rf a n g o 
Araujo 	a rf aU x o 
Araya 	a rf a L a 
Araya(2) 	a rf aI a 
Arbeh 	a rf b e 
Arbil 	a rf b i l 
Arbitro 	a rf b i t rf o 
Arbitros 	a rf b i t rf o s 
Arcadio 	a rf k a D j o 
Arce 	a rf s e 
Arce(2) 	a rf T e 
Archidio+cesis 	a rf tS i D j o+ s e s i s 
Archidio+cesis(2) 	a rf tS i D j o+ T e s i s 
Arcia 	a rf s j a 
Arcia(2) 	a rf T j a 
Ardeatinas 	a rf D e a t i n a s 
Ardito 	a rf D i t o 
Arditto 	a rf D i t t o 
Are+valo 	a rf e+ b a l o 
A+rea 	a+ rf e a 
Arellano 	a rf e L a n o 
Arena 	a rf e n a 
Arenas 	a rf e n a s 
Argentina 	a rf x e n t i n a 
Argentinas 	a rf x e n t i n a s 
Argentino 	a rf x e n t i n o 
Argentinos 	a rf x e n t i n o s 
Argueas 	a rf g e a s 
Argu^ello 	a rf g w e L o 
Argueta 	a rf g e t a 
Argumedo 	a rf G u m e D o 
Argumento 	a rf G u m e n t o 
Arias 	a rf j a s 
Ariel 	a rf j e l 
Arinze 	a rf i n s e 
Arinze(2) 	a rf i n T e 
Aristide 	a rf i s t i D e 
Aristides 	a rf i s t i D e s 
Aristizabal 	a rf i s t i s a b a l 
Aristizabal(2) 	a rf i s t i T a b a l 
Aristo+tles 	a rf i s t o+ t l e s 
Arizcuren 	a rf i s k u rf e ng 
Arizcuren(2) 	a rf i T k u rf e n 
Arizti+a 	a rf i s t i+ a 
Arizti+a(2) 	a rf i T t i+ a 
Arlen 	a rf l e ng 
Armada 	a rf m a D a 
Armadas 	a rf m a D a s 
Armando 	a rf m a n d o 
Armas 	a rf m a s 
Armelio 	a rf m e l j o 
Armentano 	a rf m e n t a n o 
Armuelles 	a rf m w e L e s 
Arnault 	a rf n aU l t 
Arnold 	a rf n o l 
Arnoldo 	a rf n o l d o 
Arnos 	a rf n o s 
Arnulfista 	a rf n u l f i s t a 
Arnulfo 	a rf n u l f o 
Arocha 	a rf o tS a 
Arosemena 	a rf o s e m e n a 
Arpad 	a rf p a 
Arq 	a rf k 
Arquidio+cesis 	a rf k i D j o+ s e s i s 
Arquidio+cesis(2) 	a rf k i D j o+ T e s i s 
Arraztoa 	a r a s t o a 
Arraztoa(2) 	a r a T t o a 
Arriaga 	a r j a G a 
Arriaza 	a r j a s a 
Arriaza(2) 	a r j a T a 
Arriazu 	a r j a s u 
Arriazu(2) 	a r j a T u 
Arriba 	a r i b a 
Arrieta 	a r j e t a 
Arrigo 	a r i G o 
Arrivillaga 	a r i b i L a G a 
Arruinando 	a r w i n a n d o 
Arthurs 	a rf t u rf s 
Artistas 	a rf t i s t a s 
Arturo 	a rf t u rf o 
Aruba 	a rf u b a 
Arzobispado 	a rf s o b i s p a D o 
Arzobispado(2) 	a rf T o b i s p a o 
Arzobispo 	a rf s o b i s p o 
Arzobispo(2) 	a rf T o b i s p o 
Arzu+ 	a rf s u+ 
Arzu+(2) 	a rf T u+ 
Asaltan 	a s a l t a ng 
Asamblea 	a s a m b l e a 
Asambleas 	a s a m b l e a s 
Asegura 	a s e G u rf a 
Aseguro+ 	a s e G u rf o+ 
Asesinos 	a s e s i n o s 
Asesor 	a s e s o rf 
Asesori+a 	a s e s o rf i+ a 
Asi+ 	a s i+ 
Asia 	a s j a 
Asignaciones 	a s i G n a s j o n e s 
Asim 	a s i m 
Asimismo 	a s i m i z m o 
Asistencia 	a s i s t e ng s j a 
Asistencia(2) 	a s i s t e n T j a 
Asistente 	a s i s t e n t e 
Asociacio+n 	a s o s j a s j o+ ng 
Asociacio+n(2) 	a s o T j a T j o+ n 
Asociaciones 	a s o s j a s j o n e s 
Asociaciones(2) 	a s o T j a T j o n e s 
Asociados 	a s o s j a D o s 
Asociados(2) 	a s o T j a D o s 
Asombrosas 	a s o m b rf o s a s 
Aspectos 	a s p e k t o s 
Aspira 	a s p i rf a 
Assets 	a s s e t s 
Associated 	a s o s j eI t e D 
Association 	a s o s j eI tS o ng 
Astiz 	a s t i s 
Astiz(2) 	a s t i T 
Astorga 	a s t o rf G a 
Astori 	a s t o rf i 
Asturias 	a s t u rf j a s 
Asuncio+n 	a s u ng s j o+ ng 
Asuncio+n(2) 	a s u n T j o+ n 
Asuntos 	a s u n t o s 
Ataco+ 	a t a k o+ 
Atchurkin 	a t tS u rf k i ng 
Atenas 	a t e n a s 
Atencio+n 	a t e ng s j o+ ng 
Atencio+n(2) 	a t e n T j o+ n 
Atendiendo 	a t e n d j e n d o 
Atentan 	a t e n t a ng 
Atila 	a t i l a 
Atitla+n 	a t i t l a+ ng 
Atiu+ 	a t j u+ 
Atla+ntica 	a t l a+ n t i k a 
Atla+ntico 	a t l a+ n t i k o 
Atla+ntida 	a t l a+ n t i D a 
Atlanta 	a t l a n t a 
Atlantic 	a t l a n t i k 
Atle+tico 	a t l e+ t i k o 
Atletismo 	a t l e t i z m o 
Ato+nita 	a t o+ n i t a 
Atonal 	a t o n a l 
Atrajo 	a t rf a x o 
Attali 	a t t a l i 
Attilio 	a t t i l j o 
Au+n 	a u+ ng 
Audicio+n 	aU D i s j o+ ng 
Audicio+n(2) 	aU D i T j o+ n 
Auditori+a 	aU D i t o rf i+ a 
Audiver 	aU D i b e rf 
Auerbach 	a w e rf b a tS 
Auguramos 	aU G u rf a m o s 
Augusto 	aU G u s t o 
Aumentan 	aU m e n t a ng 
Aumentaron 	aU m e n t a rf o ng 
Aun 	aU ng 
Aunque 	aU ng k e 
Aunque(2) 	aU n k e 
Aurelia 	aU rf e l j a 
Aureliano 	aU rf e l j a n o 
Aurora 	aU rf o rf a 
Australia 	aU s t rf a l j a 
Austria 	aU s t rf j a 
Aute+ntico 	aU t e+ n t i k o 
Auto 	aU t o 
Auto+noma 	aU t o+ n o m a 
Autodefensa 	aU t o D e f e ng s a 
Autodefensa(2) 	aU t o D e f e n s a 
Autolatina 	aU t o l a t i n a 
Automotora 	aU t o m o t o rf a 
Automotriz 	aU t o m o t rf i s 
Automotriz(2) 	aU t o m o t rf i T 
Autoridad 	aU t o rf i D a 
Autoridades 	aU t o rf i D a D e s 
Autorizan 	aU t o rf i s a ng 
Autorizan(2) 	aU t o rf i T a n 
Auxiliar 	aU k s i l j a rf 
Auxiliar(2) 	aU s i l j a rf 
Av 	a b 
Avance 	a b a ng s e 
Avance(2) 	a b a n T e 
Avances 	a b a ng s e s 
Avances(2) 	a b a n T e s 
Avanzada 	a b a n s a D a 
Ave 	a b e 
Aveledo 	a b e l e D o 
Avellaneda 	a b e L a n e D a 
Avenida 	a b e n i D a 
Averell 	a b e rf e L 
Avi+sennos 	a b i+ s e n n o s 
Aviacio+n 	a b j a s j o+ ng 
Aviacio+n(2) 	a b j a T j o+ n 
Avid 	a b i 
Avigdor 	a b i G D o rf 
Avila 	a b i l a 
Avile+s 	a b i l e+ s 
Aviv 	a b i b 
Axel 	a k s e l 
Axel(2) 	a s e l 
Axwoeth 	a k s w o e t 
Axwoeth(2) 	a s b o e t 
Axworth 	a k s w o rf t 
Axworth(2) 	a s b o rf t 
Axworthc 	a k s w o rf t k 
Axworthc(2) 	a s b o rf t k 
Axworthy 	a k s w o rf t j 
Axworthy(2) 	a s b o rf t j 
Ay 	aI 
Ayala 	a L a l a 
Ayala(2) 	aI a l a 
Ayanegui 	a L a n e g i 
Ayanegui(2) 	aI a n e g i 
Ayer 	a L e rf 
Ayer(2) 	aI e rf 
Ayudari+a 	a L u D a rf i+ a 
Ayudari+a(2) 	aI u D a rf i+ a 
Ayuntamiento 	a L u n t a m j e n t o 
Ayuntamiento(2) 	aI u n t a m j e n t o 
Azcona 	a s k o n a 
Azcona(2) 	a T k o n a 
Aziz 	a s i s 
Aziz(2) 	a T i T 
Aznar 	a s n a rf 
Aznar(2) 	a T n a rf 
Azteca 	a s t e k a 
Azteca(2) 	a T t e k a 
Azu+car 	a s u+ k a rf 
Azu+car(2) 	a T u+ k a rf 
Azul 	a s u l 
Azul(2) 	a T u l 
Azzaro 	a s s a rf o 
Azzaro(2) 	a T T a rf o 
Azzini 	a s s i n i 
Azzini(2) 	a T T i n i 
B 	b e 
BAGDAD 	b a G D a 
BAJO 	b a x o 
BAL 	b a l 
BALAS 	b a l a s 
BANASUPRO 	b a n a s u p rf o 
BANCENTRO 	b a ng s e n t rf o 
BANCENTRO(2) 	b a n T e n t rf o 
BANCO 	b a ng k o 
BANCO(2) 	b a n k o 
BANHVI 	b a n b i 
BARATO 	b a rf a t o 
BARDOT 	b a rf D o t 
BBC 	b e b e s e 
BCH 	b e s e a tS e 
BCIE 	b e s e i e 
BCIE(2) 	b e T e i e 
BCR 	b e s e e r e 
BCRA 	b e s e e rf e a 
BCU 	b e s e u 
BEATOS 	b e a t o s 
BECA 	b e k a 
BELFAST 	b e l f a s t 
BICS 	b i k s 
BICSA 	b i k s a 
BID 	b i 
BILJANA 	b i l x a n a 
BILL 	b i l 
BIP 	b i p 
BIRF 	b i rf f 
BIRMINGHAM 	b i rf m i ng x a m 
BIRMINGHAM(2) 	b i rf m i n g a m 
BLOQUE 	b l o k e 
BLOQUEADO 	b l o k e a D o 
BLOQUEADO(2) 	b l o k e a o 
BM 	V e e m e 
BMW 	V e e m e D o b l e u 
BMW(2) 	V m b 
BNP 	b e e n e p e 
BOB 	b o b 
BOGOTA+ 	b o G o t a+ 
BOLETI+N 	b o l e t i+ ng 
BOLSA 	b o l s a 
BONOS 	b o n o s 
BORIS 	b o rf i s 
BOSCO 	b o s k o 
BOSNIA 	b o z n j a 
BOSNIOS 	b o z n j o s 
BOSSI 	b o s s i 
BPA 	b e p e a 
BPS 	b e p e e s e 
BR 	b e e e rf e 
BRASIL 	b rf a s i l 
BRASILI 	b rf a s i l i 
BROU 	b rf o u 
BRUSELAS 	b rf u s e l a s 
BRUTALIDAD 	b rf u t a l i D a 
BUDAPEST 	b u D a p e s t 
BUENOS 	b w e n o s 
BURTON 	b u rf t o ng 
BUSCANDO 	b u s k a n d o 
BY 	b aI 
BZW 	b e s e t a D o b l e u 
Ba+ez 	b a+ e s 
Ba+ez(2) 	b a+ e T 
Ba+ltico 	b a+ l t i k o 
Ba+maca 	b a+ m a k a 
Ba+rbara 	b a+ rf b a rf a 
Ba+sica 	b a+ s i k a 
Ba+sicamente 	b a+ s i k a m e n t e 
Ba+sicos 	b a+ s i k o s 
Baath 	b a a t 
Babilonia 	b a b i l o n j a 
Bacon 	b a k o ng 
Badell 	b a D e L 
Baden 	b a D e ng 
Badilla 	b a D i L a 
Bagdad 	b a G D a 
Bahadur 	b a a D u rf 
Baharunuddin 	b a a rf u n u n D i ng 
Bahi+a 	b a i+ a 
Bahrein 	b a rf eI ng 
Baires 	b aI rf e s 
Baja 	b a x a 
Bajan 	b a x a ng 
Bajas 	b a x a s 
Bajo 	b a x o 
Baker 	b a k e rf 
Bakey 	b a k eI 
Baku+ 	b a k u+ 
Bakulev 	b a k u l e b 
Balboa 	b a l b o a 
Balcanes 	b a l k a n e s 
Balconi 	b a l k o n i 
Bali+ 	b a l i+ 
Balladares 	b a L a D a rf e s 
Balle+n 	b a L e+ ng 
Baloncesto 	b a l o ng s e s t o 
Baloncesto(2) 	b a l o n T e s t o 
Baloushe 	b a l o u s e 
Balsa 	b a l s a 
Baltasar 	b a l t a s a rf 
Baltic 	b a l t i k 
Bancaria 	b a ng k a rf j a 
Bancaria(2) 	b a n k a rf j a 
Banco 	b a ng k o 
Banco(2) 	b a n k o 
Bancos 	b a ng k o s 
Bancos(2) 	b a n k o s 
Banda 	b a n d a 
Bandas 	b a n d a s 
Bandidos 	b a n d i D o s 
Bando+n 	b a n d o+ ng 
Bang 	b a ng 
Bang(2) 	b a n g 
Banja 	b a ng x a 
Banja(2) 	b a n x a 
Bank 	b a n k 
Banking 	b a n k i ng g 
Banking(2) 	b a n k i n g 
Banks 	b a n k s 
Bao 	b a o 
Bar 	b a rf 
Barahona 	b a rf a o n a 
Barbra 	b a rf b rf a 
Barcelona 	b a rf s e l o n a 
Barcelona(2) 	b a rf T e l o n a 
Barcos 	b a rf k o s 
Bardot 	b a rf D o t 
Bari 	b a rf i 
Bariloche 	b a rf i l o tS e 
Barletta 	b a rf l e t t a 
Barquero 	b a rf k e rf o 
Barquisimeto 	b a rf k i s i m e t o 
Barre+ 	b a r e+ 
Barrera 	b a r e rf a 
Barricada 	b a r i k a D a 
Barrientos 	b a r j e n t o s 
Barrio 	b a r j o 
Barriola 	b a r j o l a 
Barrios 	b a r j o s 
Barrow 	b a r o w 
Barrow(2) 	b a r o b 
Barry 	b a r j 
Baru+ 	b a rf u+ 
Baruta 	b a rf u t a 
Barvija 	b a rf b i x a 
Barzani 	b a rf s a n i 
Barzani(2) 	b a rf T a n i 
Base 	b a s e 
Bases 	b a s e s 
Basf 	b a s f 
Bashmaq 	b a s m a k 
Basi+lica 	b a s i+ l i k a 
Basilio 	b a s i l j o 
Bassa+n 	b a s s a+ ng 
Bassinger 	b a s i n x e rf 
Basta 	b a s t a 
Bastante 	b a s t a n t e 
Bastos 	b a s t o s 
Batabano 	b a t a b a n o 
Batalla 	b a t a L a 
Batallo+n 	b a t a L o+ ng 
Batista 	b a t i s t a 
Batlle 	b a t L e 
Batres 	b a t rf e s 
Bautch 	b aU t tS 
Bcama 	b k a m a 
Be+ja 	b e+ x a 
Be+lgica 	b e+ l x i k a 
Be+liz 	b e+ l i s 
Be+liz(2) 	b e+ l i T 
Beate 	b e a t e 
Beatle 	b i t l e 
Beatriz 	b e a t rf i s 
Beatriz(2) 	b e a t rf i T 
Beatty 	b e a t t j 
Beaver 	b e a b e rf 
Bebiendo 	b e b j e n d o 
Bechtel 	b e tS t e l 
Becker 	b e k k e rf 
Bedoya 	b e D o L a 
Bedoya(2) 	b e D oI a 
Begin 	b e x i ng 
Beijing 	b eI x i ng 
Beijing(2) 	b eI x i n g 
Beirun 	b eI rf u ng 
Beirut 	b eI rf u t 
Bele+n 	b e l e+ ng 
Belford 	b e l f o rf 
Belgrado 	b e l G rf a D o 
Belgrado(2) 	b e l G rf a o 
Belgrano 	b e l G rf a n o 
Beli 	b e l i 
Belice 	b e l i s e 
Belice(2) 	b e l i T e 
Belizaiere 	b e l i s a j e rf e 
Belizaiere(2) 	b e l i T a j e rf e 
Belsen 	b e l s e ng 
Beltrano 	b e l t rf a n o 
Benavides 	b e n a b i D e s 
Bendeck 	b e n d e k k 
Bendicio+n 	b e n d i s j o+ ng 
Bendik 	b e n d i k 
Benedetti 	b e n e D e t t i 
Benhamou 	b e n a m o u 
Benigna 	b e n i G n a 
Benigni 	b e n i G n i 
Benjami+n 	b e ng x a m i+ ng 
Benjami+n(2) 	b e n x a m i+ n 
Benjamin 	b e ng x a m i ng 
Benjamin(2) 	b e n x a m i n 
Bennelong 	b e n n e l o ng g 
Bennelong(2) 	b e n n e l o n g 
Bennet 	b e n n e t 
Benny 	b e n n j 
Bensio+n 	b e ng s j o+ ng 
Bensio+n(2) 	b e n s j o+ n 
Bentos 	b e n t o s 
Benz 	b e n s 
Benz(2) 	b e n T 
Berazategui 	b e rf a s a t e g i 
Berazategui(2) 	b e rf a T a t e g i 
Berchesi 	b e rf tS e s i 
Berdugo 	b e rf D u G o 
